79630 28281
15370 18403
33500 36375
15160 45595
26620 4788
69940 13156
80670 45899
32320 9829
32320 9829
18310 8717
22330 9829
60900 9829
77850 9299
77850 9299
28850 13489
39720 29073
54420 55424
68340 34204
16000 4134
55100 29073
69500 3462
50220 45899
17210 9121
73590 6910
34300 45899
700 12876
18040 7552
18040 7552
18040 7552
60000 3462
67230 45899
6080 2609
36760 2516
6550 6057
31140 18881
37680 20473
11480 10620
11480 10620
11480 10620
56060 10481
28980 4808
78960 4538
58440 35592
67260 11404
42060 18403
42060 18403
42060 18403
47650 4760
65800 17816
65800 17816
65800 17816
33040 28300
20820 45899
52550 4134
39300 15500
43320 4134
77490 10481
48300 13188
48300 13188
48300 13188
34690 9829
67260 11404
23520 25459
71670 10620
71670 10620
71670 10620
23520 25459
31100 53006
21230 45899
46170 9116
46170 9116
7070 4134
46170 9116
40370 10439
1510 5617
1510 5617
1510 5617
63540 45543
15030 8953
3320 24560
17720 13489
56390 18881
67720 24086
67720 24086
67720 24086
44620 36375
39620 36375
66330 6830
52470 4134
35990 24445
71720 9829
5600 4780
73880 64094
70120 18403
71420 6828
53810 4134
20410 9299
20410 9299
8330 4134
78960 4538
58080 23724
36120 9299
64180 59473
64180 59473
64180 59473
27780 5483
76890 3462
77150 10318
35950 12334
38810 29073
66990 28573
66990 28573
66990 28573
50690 4837
50690 4837
50690 4837
75350 63949
58290 8075
38810 29073
72430 9394
18190 9394
15500 9808
15500 9808
15500 9808
58440 35592
15500 9808
17350 36493
45740 51655
30010 18881
13800 4837
13800 4837
13800 4837
76090 9121
76090 9121
76090 9121
38580 7482
38580 7482
38580 7482
42900 45595
63250 57043
74120 7552
25890 6181
27990 28202
13530 45595
30930 9318
44010 4766
36820 11992
21490 9299
29620 27699
22690 4837
20890 7552
75940 7303
48560 7552
28980 4808
2330 5617
2330 5617
2330 5617
8810 4766
43200 6400
25480 3462
75790 4766
75790 4766
75790 4766
65120 11830
65120 11830
34540 10439
58580 4837
58580 4837
32770 2516
27150 4837
27150 4837
27150 4837
4390 24560
13070 6849
16600 7018
38930 4134
38930 4134
11180 9829
38930 4134
38810 29073
23770 7552
20130 9299
20130 9299
70020 45899
8030 18403
73670 3462
30710 45899
140 22773
68160 27699
68160 27699
53930 9121
33850 9829
29690 45899
77510 45899
48430 63949
76630 4134
49670 13802
9030 680
6960 41034
9260 4766
9260 4766
9260 4766
64560 4134
4300 6412
4300 6412
4300 6412
4300 6412
27230 18403
7350 4134
48070 45899
23370 4134
23370 4134
23370 4134
23370 4134
56380 18881
56380 18881
56380 18881
36070 29107
36070 29107
36070 29107
48590 63949
56840 9829
55130 24560
5890 4134
58440 35592
58440 35592
54500 6471
47590 18881
47590 18881
47590 18881
310 4766
36240 4134
21150 8866
3390 18403
19650 6939
4160 31677
43980 12357
43980 12357
43980 12357
25670 4134
70040 45899
64340 18403
13210 134312
13210 134312
13210 134312
58190 47588
43770 7738
43770 7738
43770 7738
63770 27699
2980 63949
54650 21017
54650 21017
27370 8708
2340 9569
74250 2516
63010 4134
9480 17974
63010 4134
9480 17974
63010 4134
9480 17974
49880 4134
65950 18403
21620 262616
63830 44581
31820 45899
70610 13489
39670 11664
39670 11664
69790 9121
